NombreES,NombreEN,Precio,DescripcionMenuES,DescripcionMenuEN,TipoES,TipoEN,SubTipoES,SubTipoEN,DietaES,DietaEN,CuidadoES,CuidadoEN,Estado,Foto,Receta,_id,GRUPO,PRINT,SUB_GRUPO,Order,Comp_Lunch
Huevos revueltos 2 quesos,Scrambled eggs & 2 cheeses,19000,"Huevos revueltos con queso mozzarella  y Queso crema, acompañados de arepa blanca","Scrambled eggs with mozzarella cheese  and cream cheese, acccompanied by white arepa",Desayuno,Breackfast,Salado,Salty,Vegetarino,Vegeterian,NA,NA,Activo,https://drive.google.com/thumbnail?id=14BNxp-LhToaEoeSJoZoSKkUSwMJq9JK-&sz=w1000-h1000,63c583d3-b920-4700-b53a-7cabd79cf4a1,ee77f9b7-fdea-441b-b94b-acac5201ec17,DESAYUNO,true,,,
Soda clásica,Classic soda,4000,Soda clásica con hielo,Classic soda served with ice,Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=14UQhR7gqAd2wV5B7L0PhXccAv7Le4_3u&sz=w1000-h1000,c2d562ae-e4c9-4927-a053-c2b4c5e08806,ef95421c-8f25-43aa-b3cd-71ba458dcd83,BEBIDAS,true,,,
Torta de zanahoria,Carrot cake,13000,Torta cubierta de crema de queso y relleno arequipe,Cake covered in cream cheese and filled with arequipe,Postres,Deserts,Dulce,Sweet,Vegetarino,Vegeterian,NA,NA,Activo,https://drive.google.com/thumbnail?id=14yqDXLBGP5s7g87lQIj9iTa7R2MFUcjB&sz=w1000-h1000,e52d2c8e-11a4-4199-a80b-bb001cb6f0d3,efb643b8-35be-4835-bd85-7964a5379352,REPOSTERIA,true,PANADERIA_REPOSTERIA_DULCE,,
Latte,Latte,8000,Base de espresso acompañado con mucha leche,Espresso based with lots of milk,Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=16eJkiyv2PchZcQwRmfc1duKsliIt-gGf&sz=w1000-h1000,fef3ffe8-e787-4acf-a3e0-9f288aeb2247,f2a90bbe-1ca3-4537-9747-171066130ca6,CAFE,true,CAFE_ESPRESSO,4,
Torta de limón,Lemon cake,12000,Torta esponjosa de limón cubierta de glaseado dulce,Fluffy lemon cake topped with sweet glaze,Postres,Deserts,Dulce,Sweet,NA,NA,NA,NA,Inactivo,https://drive.google.com/thumbnail?id=15OEGbOGsO36qsoNkmdApM0f-Pe9mGIUb&sz=w1000-h1000,,f335a915-cfd8-47fd-879d-ad3bb0d19f89,REPOSTERIA,false,,,
Desayuno americano,American breakfast,20000,"Dos huevos fritos, tocino ahumado, pan tostado y queso","Two fried eggs, smoked bacon, toasted bread, and cheese",Desayuno,Breackfast,Salado,Salty,Carnico,,NA,NA,Activo,https://drive.google.com/thumbnail?id=137jfKGoAACkBcl4953S_-9mdl-NVxK3t&sz=w1000-h1000,ea57e97f-cd6e-48bd-996d-d60aaf0522e4,f4878bdf-2cf3-4b07-ac88-f2ee782d88bb,DESAYUNO,true,DESAYUNO_SALADO,,
Chai-chino,Chai-chino,10000,Espresso sencillo con té chai y leche espumada,"Single espresso, with chai tea and frothed milk",Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=12nkdUz6emTsC01ke8kKUlpAzUIUIqzZo&sz=w1000-h1000,f5e91b9e-3b8f-444e-9b26-8d39dc608e3c,f8ff1f7d-29bd-4ec5-98e1-2f131988fa7f,BEBIDAS,,,,
CERDO_CARNITAS,,22000,,,,,,,,,,,Activo,,,f94625f8-2120-4d77-ac82-563d7f921f46,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""miércoles"",
    ""fecha"": ""2025-08-27""
  },
  ""entrada"": {
    ""nombre"": ""Sopa de frijol verde"",
    ""descripcion"": ""Más tinta que frijol.""
  },
  ""proteina"": {
    ""nombre"": ""Carnitas de cerdo"",
    ""descripcion"": "" Estilo mexicano, marinadas  con achiote y naranja.""
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz con maíz"",
    ""descripcion"": ""Arroz blanco tradicional cocinado con granos de maíz dulce.""
  },
  ""acompanante"": {
    ""nombre"": ""Nachos con guacamole"",
    ""descripcion"": """"
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada Pico de gallo"",
    ""descripcion"": "" Tomate, cebolla, cilantro y un toque de rábano.""
  },
  ""bebida"": {
    ""nombre"": ""Jugo de Mango"",
    ""descripcion"": """"
  },
  ""proteina_opcion_2"": {
    ""nombre"": ""Pollo a la plancha"",
    ""descripcion"": ""Pechuga""
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Lucia"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 2,
      ""nombre"": ""federico"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""llevar"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""luces"",
      ""option"": ""2"",
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""luces"",
      ""option"": ""2"",
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""luces"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""andres"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": ""sin sopa""
    },
    {
      ""order"": 7,
      ""nombre"": ""yolanda"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""pareja bebe"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 9,
      ""nombre"": ""pareja bebe"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""pareja"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 11,
      ""nombre"": ""pareja"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 12,
      ""nombre"": ""trio"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": ""sin sopa""
    },
    {
      ""order"": 13,
      ""nombre"": ""trio"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": ""sin sopa""
    },
    {
      ""order"": 14,
      ""nombre"": ""trio"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 15,
      ""nombre"": ""mauricio"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 16,
      ""nombre"": ""señoras"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 17,
      ""nombre"": ""señoras"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    }
  ]
}"
Croissant de queso,Cheese croissant,8000,Croissant clásico de queso,Classic cheese croissant,Panes,Breads,Salado,Salty,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=13E74OeYcWg7XEy9U3fFyD34TNLtSQNHO&sz=w1000-h1000,2bac2938-6e4d-47a9-a829-dcf2459a13ef,fb88202b-b0a9-4d30-8588-c800093ab3f3,PANADERIA,true,PANADERIA_REPOSTERIA_SALADA,,
Milo,Milo,9000,Milo en leche espumosa,Milo in frothed milk,Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,,3c4ed275-1c40-44c5-8bbe-e6c2eef2d933,ffe5d477-f546-47cf-aec7-18d61f6362e5,BEBIDAS,true,BEBIDAS_CALIENTES,,
